Date,Month,Year,Season,Day_of_Week,Is_Weekend,Weather_Type,Location_City,Location_State,Country,Zone,Place_Name,Place_Type,Establishment_Year,Google_Rating,Significance,Airport_Within_50km,Weekly_Off,DSLR_Allowed,Review_Count_Lakhs,Visitors_Count,Ticket_Price,Revenue,Tourist_Type,Rating
2023-11-19,November,2023,Autumn,Sunday,Yes,Clear,Gangtok,Sikkim,India,Eastern,Tsomgo Lake,Lake,Unknown,4.3,Nature,Yes,None,Yes,0.15,433,0,0,Domestic,4.3
2024-04-26,April,2024,Summer,Friday,No,Hot,Hyderabad,Telangana,India,Southern,Hussain Sagar Lake,Lake,1563,4.3,Scenic,Yes,None,Yes,0.5,514,0,0,Domestic,4.3
2023-03-23,March,2023,Summer,Thursday,No,Hot,Ranchi,Jharkhand,India,Eastern,Pahari Mandir,Temple,Unknown,4.6,Religious,Yes,None,Yes,0.13,393,0,0,Domestic,4.6
2024-10-09,October,2024,Autumn,Wednesday,No,Cool,Namchi,Sikkim,India,Eastern,Char Dham,Religious Complex,211,4.6,Religious,Yes,None,No,0.12,281,47,13207,Domestic,4.6
2024-09-06,September,2024,Monsoon,Friday,No,Cloudy,Dwarka,Gujarat,India,Western,Dwarkadhish Temple,Temple,-400,4.9,Religious,No,None,No,0.59,420,0,0,Domestic,4.9
2025-07-27,July,2025,Monsoon,Sunday,Yes,Rainy,Delhi,Delhi,India,Northern,Jantar Mantar,Observatory,1724,4.2,Scientific,Yes,None,Yes,0.31,261,16,4176,Domestic,4.2
2024-12-15,December,2024,Winter,Sunday,Yes,Clear,Dwarka,Gujarat,India,Western,Dwarkadhish Temple,Temple,-400,4.7,Religious,No,None,No,0.59,900,0,0,Domestic,4.7
2024-09-11,September,2024,Monsoon,Wednesday,No,Rainy,Hajo,Assam,India,North Eastern,Hayagriva Madhava Temple,Temple,Unknown,4.5,Religious,No,None,Yes,0.9,466,0,0,Domestic,4.5
2023-10-03,October,2023,Autumn,Tuesday,No,Pleasant,Goa,Goa,India,Southern,Basilica of Bom Jesus,Church,1605,4.6,Historical,Yes,None,Yes,0.59,564,0,0,Domestic,4.6
2024-07-11,July,2024,Monsoon,Thursday,No,Humid,Jaipur,Rajasthan,India,Northern,Hawa Mahal,Palace,1799,4.5,Architectural,Yes,None,Yes,1.3,498,51,25398,Domestic,4.5
2025-11-01,November,2025,Autumn,Saturday,Yes,Clear,Ajanta,Maharashtra,India,Western,Ellora Caves,Cave,600,4.5,Historical,Yes,Tuesday,Yes,0.49,143,28,4004,Domestic,4.5
2023-09-25,September,2023,Monsoon,Monday,No,Cloudy,Haridwar,Uttarakhand,India,Northern,Har Ki Pauri,Ghat,Unknown,4.5,Religious,Yes,None,Yes,0.025,121,0,0,Domestic,4.5
2023-06-04,June,2023,Monsoon,Sunday,Yes,Cloudy,Goa,Goa,India,Southern,Chapora Fort,Fort,1617,4.1,Historical,Yes,None,Yes,0.19,58,0,0,International,4.1
2023-10-31,October,2023,Autumn,Tuesday,No,Pleasant,Dumboor,Tripura,India,North Eastern,Dumboor Lake,Lake,Unknown,4.4,Nature,No,None,Yes,0.01,168,0,0,International,4.4
2025-01-02,January,2025,Winter,Thursday,No,Cold,Mumbai,Maharastra,India,Western,Siddhivinayak Temple,Temple,1881,4.6,Religious,Yes,None,No,1.05,1240,0,0,Domestic,4.6
2025-04-12,April,2025,Summer,Saturday,Yes,Hot,Puducherry,Puducherry,India,Southern,Promenade Beach,Beach,Unknown,4.7,Recreational,Yes,None,Yes,0.09,72,0,0,Domestic,4.7
2025-04-24,April,2025,Summer,Thursday,No,Warm,Jaipur,Rajasthan,India,Northern,Jaigarh Fort,Fort,1726,4.5,Historical,Yes,None,Yes,0.3,86,33,2838,Domestic,4.5
2024-06-30,June,2024,Monsoon,Sunday,Yes,Stormy,Alibaug,Maharastra,India,Western,Alibaug Beach,Beach,Unknown,4.3,Recreational,Yes,None,Yes,0.05,19,0,0,Domestic,4.3
2024-02-13,February,2024,Winter,Tuesday,No,Cold,Coorg,Karnataka,India,Southern,Abbey Falls,Waterfall,Unknown,4.2,Nature,No,None,Yes,0.03,191,0,0,Domestic,4.2
2024-04-01,April,2024,Summer,Monday,No,Warm,Badami,Karnataka,India,Southern,Badami Cave Temples,Cave,600,4.7,Religious,No,None,No,0.2,86,31,2666,Domestic,4.7
2024-12-20,December,2024,Winter,Friday,No,Clear,Pachmarhi,Madhya Pradesh,India,Central,Bee Falls,Waterfall,Unknown,4.6,Nature,No,None,Yes,0.065,315,15,4725,Domestic,4.6
2023-08-25,August,2023,Monsoon,Friday,No,Humid,Delhi,Delhi,India,Northern,Qutub Minar,Monument,1192,4.5,Historical,Yes,None,Yes,1.37,686,33,22638,International,4.5
2024-10-04,October,2024,Autumn,Friday,No,Pleasant,Ranikhet,Uttarakhand,India,Northern,Chaubatia Gardens,Orchard,1868,4.2,Recreational,No,None,Yes,0.025,169,51,8619,International,4.2
2024-06-05,June,2024,Monsoon,Wednesday,No,Cloudy,Munnar,Kerala,India,Southern,Munnar Tea Gardens,Scenic Area,Unknown,4.3,Nature,No,None,Yes,0.3,51,0,0,Domestic,4.3
2024-02-08,February,2024,Winter,Thursday,No,Clear,Sivasagar,Assam,India,North Eastern,Sivasagar Sivadol,Temple,1734,4.8,Historical,No,None,Yes,0.065,159,0,0,International,4.8
2024-10-04,October,2024,Autumn,Friday,No,Pleasant,Rishikesh,Uttarakhand,India,Northern,Laxman Jhula,Suspension Bridge,1939,4.3,Cultural,Yes,None,Yes,0.03,238,0,0,Domestic,4.3
2025-04-16,April,2025,Summer,Wednesday,No,Warm,Kangra,Himachal Pradesh,India,Northern,Kangra Fort,Fort,400,4.3,Historical,Yes,None,Yes,0.1,233,147,34251,Domestic,4.3
2023-12-23,December,2023,Winter,Saturday,Yes,Cool,Kanpur,Uttar Pradesh,India,Central,Allen Forest Zoo,Zoo,1971,4.1,Wildlife,Yes,Monday,Yes,0.21,453,147,66591,Domestic,4.1
2024-10-21,October,2024,Autumn,Monday,No,Clear,Ranchi,Jharkhand,India,Eastern,Pahari Mandir,Temple,Unknown,4.5,Religious,Yes,None,Yes,0.13,419,0,0,Domestic,4.5
2023-12-14,December,2023,Winter,Thursday,No,Clear,Thanjavur,Tamil Nadu,India,Southern,Brihadeeswarar Temple,Temple,110,4.9,Religious,Yes,None,No,0.35,199,0,0,Domestic,4.9
2023-07-11,July,2023,Monsoon,Tuesday,No,Rainy,Dehradun,Uttarakhand,India,Northern,Robber's Cave,Cave,Unknown,4.4,Nature,Yes,None,Yes,0.01,45,26,1170,Domestic,4.4
2024-05-16,May,2024,Summer,Thursday,No,Sunny,Mumbai,Maharastra,India,Western,Chowpatty Beach,Beach,Unknown,4.1,Recreational,Yes,None,Yes,0.05,138,0,0,Domestic,4.1
2024-02-03,February,2024,Winter,Saturday,Yes,Clear,Mathura,Uttar Pradesh,India,Central,Nand Gaon,Village,Unknown,4.0,Cultural,Yes,None,Yes,0.01,200,0,0,Domestic,4.0
2023-08-07,August,2023,Monsoon,Monday,No,Humid,Delhi,Delhi,India,Northern,Akshardham Temple,Temple,2005,4.4,Religious,Yes,None,No,0.4,218,57,12426,Domestic,4.4
2023-09-06,September,2023,Monsoon,Wednesday,No,Rainy,Alibaug,Maharastra,India,Western,Alibaug Beach,Beach,Unknown,4.3,Recreational,Yes,None,Yes,0.05,39,0,0,Domestic,4.3
2024-10-11,October,2024,Autumn,Friday,No,Clear,Puducherry,Puducherry,India,Southern,Promenade Beach,Beach,Unknown,4.7,Recreational,Yes,None,Yes,0.09,171,0,0,Domestic,4.7
2025-07-02,July,2025,Monsoon,Wednesday,No,Cloudy,Murshidabad,West Bengal,India,Eastern,Hazarduari Palace,Palace,1837,4.6,Historical,Yes,Friday,Yes,0.18,82,10,820,Domestic,4.6
2025-12-03,December,2025,Winter,Wednesday,No,Pleasant,Jabalpur,Madhya Pradesh,India,Central,Dhuandhar Falls,Waterfall,Unknown,4.5,Nature,No,None,Yes,0.01,211,0,0,Domestic,4.5
2024-04-25,April,2024,Summer,Thursday,No,Sunny,Mandu,Madhya Pradesh,India,Central,Jahaz Mahal,Site,1500,3.8,Historical,No,None,Yes,0.03,93,48,4464,International,3.8
2023-11-09,November,2023,Autumn,Thursday,No,Cool,Leh,Ladakh,India,Northern,Pangong Tso,Lake,Unknown,4.9,Nature,Yes,None,Yes,0.15,217,18,3906,Domestic,4.9
2024-02-28,February,2024,Winter,Wednesday,No,Clear,Bangalore,Karnataka,India,Southern,ISKCON Temple Bangalore,Temple,1997,4.6,Religious,Yes,None,Yes,1.14,1638,0,0,Domestic,4.6
2025-02-18,February,2025,Winter,Tuesday,No,Clear,Delhi,Delhi,India,Northern,Garden of Five Senses,Park,2003,4.1,Botanical,Yes,None,Yes,0.23,388,32,12416,Domestic,4.1
2024-03-27,March,2024,Summer,Wednesday,No,Pleasant,Darjeeling,West Bengal,India,Eastern,Tiger Hill,Sunrise Point,Unknown,4.5,Nature,No,None,Yes,0.025,237,0,0,Domestic,4.5
2024-11-19,November,2024,Autumn,Tuesday,No,Pleasant,Udhampur,Jammu and Kashmir,India,Northern,Patnitop Height,Hill,Unknown,4.1,Recreational,No,None,Yes,0.01,152,0,0,Domestic,4.1
2025-12-29,December,2025,Winter,Monday,No,Clear,Goa,Goa,India,Southern,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,3.7,Wildlife,Yes,None,Yes,0.03,67,11,737,Domestic,3.7
2023-10-05,October,2023,Autumn,Thursday,No,Pleasant,Bolpur,West Bengal,India,Eastern,Kankalitala Temple,Temple,Unknown,4.7,Religious,Yes,None,No,0.045,195,0,0,International,4.7
2025-07-20,July,2025,Monsoon,Sunday,Yes,Foggy,Nelliyampathy,Kerala,India,Southern,Seethargundu Viewpoint,Viewpoint,Unknown,4.6,Nature,No,None,Yes,0.03,62,0,0,Domestic,4.6
2023-06-17,June,2023,Monsoon,Saturday,Yes,Rainy,Nagpur,Maharastra,India,Western,Deekshabhoomi,Monument,2001,4.4,Religious,Yes,None,Yes,0.11,291,0,0,Domestic,4.4
2023-03-24,March,2023,Summer,Friday,No,Hot,Hyderabad,Telangana,India,Southern,Ramoji Film City,Film Studio,1996,4.4,Entertainment,Yes,None,Yes,0.45,83,1253,103999,Domestic,4.4
2023-09-16,September,2023,Monsoon,Saturday,Yes,Rainy,Halebidu,Karnataka,India,Southern,Halebidu Hoysaleswara Temple,Temple,1121,4.6,Religious,No,None,No,0.11,101,15,1515,Domestic,4.6
2023-12-10,December,2023,Winter,Sunday,Yes,Cool,Jhansi,Uttar Pradesh,India,Central,Jhansi Fort,Fort,1613,4.2,Historical,Yes,None,Yes,0.25,225,16,3600,Domestic,4.2
2024-09-30,September,2024,Monsoon,Monday,No,Humid,Delhi,Delhi,India,Northern,National Zoological Park,Zoo,1959,4.2,Environmental,Yes,Friday,Yes,0.41,134,83,11122,Domestic,4.2
2024-05-12,May,2024,Summer,Sunday,Yes,Sunny,Hyderabad,Telangana,India,Southern,Birla Mandir,Temple,1976,4.5,Religious,Yes,None,No,0.41,270,0,0,Domestic,4.5
2023-03-26,March,2023,Summer,Sunday,Yes,Hot,Port Blair,Andaman and Nicobar Islands,India,Southern,Cellular Jail,Landmark,1906,4.6,Historical,Yes,Monday,Yes,0.12,303,31,9393,Domestic,4.6
2025-09-30,September,2025,Monsoon,Tuesday,No,Humid,Siliguri,West Bengal,India,Eastern,Jaldapara National Park,Wildlife Sanctuary,1941,4.5,Wildlife,Yes,None,Yes,0.035,20,247,4940,Domestic,4.5
2025-06-10,June,2025,Monsoon,Tuesday,No,Cloudy,Ahmedabad,Gujarat,India,Western,Science City,Science,2002,4.5,Educational,Yes,Monday,Yes,0.11,118,523,61714,Domestic,4.5
2025-09-17,September,2025,Monsoon,Wednesday,No,Cloudy,Sivasagar,Assam,India,North Eastern,Sivasagar Sivadol,Temple,1734,4.7,Historical,No,None,Yes,0.065,93,0,0,Domestic,4.7
2024-05-17,May,2024,Summer,Friday,No,Warm,Barot,Himachal Pradesh,India,Northern,Barot Valley,Valley,Unknown,4.6,Nature,No,None,Yes,1.2,928,0,0,Domestic,4.6
2025-02-15,February,2025,Winter,Saturday,Yes,Clear,Rameswaram,Tamil Nadu,India,Southern,Ramanathaswamy Temple,Temple,Unknown,4.5,Religious,No,None,No,0.01,233,0,0,International,4.5
2024-11-28,November,2024,Autumn,Thursday,No,Clear,Tarkarli,Maharashtra,India,Western,Tarkarli Beach,Beach,Unknown,4.5,Recreational,No,None,Yes,0.065,116,0,0,Domestic,4.5
2025-11-24,November,2025,Autumn,Monday,No,Pleasant,Delhi,Delhi,India,Northern,Chandni Chowk,Market,1700,4.2,Market,Yes,Sunday,Yes,0.25,203,0,0,Domestic,4.2
2024-05-07,May,2024,Summer,Tuesday,No,Sunny,Bastar,Chhattisgarh,India,Central,Chitrakote Falls,Waterfall,Unknown,4.6,Nature,No,None,Yes,0.19,334,0,0,Domestic,4.6
2023-07-10,July,2023,Monsoon,Monday,No,Rainy,Delhi,Delhi,India,Northern,Agrasen ki Baoli,Stepwell,1400,4.1,Historical,Yes,None,Yes,0.41,136,0,0,Domestic,4.1
2025-01-25,January,2025,Winter,Saturday,Yes,Clear,Bodh Gaya,Bihar,India,Eastern,Mahabodhi Temple,Temple,-260,4.8,Religious,Yes,None,Yes,0.2,614,0,0,Domestic,4.8
2024-12-21,December,2024,Winter,Saturday,Yes,Clear,Rishikesh,Uttarakhand,India,Northern,Laxman Jhula,Suspension Bridge,1939,4.2,Cultural,Yes,None,Yes,0.03,164,0,0,Domestic,4.2
2024-10-08,October,2024,Autumn,Tuesday,No,Cool,Kochi,Kerala,India,Southern,Fort Kochi,Site,1503,4.5,Historical,Yes,None,Yes,0.1,169,0,0,Domestic,4.5
2024-01-28,January,2024,Winter,Sunday,Yes,Clear,Amritsar,Punjab,India,Northern,Wagah Border,Border Crossing,1950,5.0,Cultural,Yes,None,Yes,0.17,468,0,0,Domestic,5.0
2024-08-02,August,2024,Monsoon,Friday,No,Foggy,Gangtok,Sikkim,India,Eastern,Rumtek Monastery,Monastery,Unknown,4.5,Religious,Yes,None,No,0.035,28,11,308,Domestic,4.5
2025-12-29,December,2025,Winter,Monday,No,Cool,Delhi,Delhi,India,Northern,Red Fort,Fort,1648,4.6,Historical,Yes,None,Yes,1.5,988,33,32604,Domestic,4.6
2025-10-02,October,2025,Autumn,Thursday,No,Pleasant,Goa,Goa,India,Southern,Aguada Beach,Beach,Unknown,4.5,Scenic,Yes,None,Yes,0.01,67,0,0,Domestic,4.5
2024-11-28,November,2024,Autumn,Thursday,No,Clear,Konark,Odisha,India,Eastern,Sun Temple,Temple,1250,4.7,Historical,Yes,None,Yes,0.83,490,44,21560,Domestic,4.7
2025-03-31,March,2025,Summer,Monday,No,Sunny,Hyderabad,Telangana,India,Southern,Golconda Fort,Fort,1600,4.3,Historical,Yes,None,Yes,1.2,1238,27,33426,Domestic,4.3
2024-09-14,September,2024,Monsoon,Saturday,Yes,Stormy,Puducherry,Puducherry,India,Southern,Paradise Beach,Beach,Unknown,4.6,Recreational,Yes,None,Yes,0.015,27,185,4995,Domestic,4.6
2025-12-06,December,2025,Winter,Saturday,Yes,Cold,Chikmagalur,Karnataka,India,Southern,Mullayanagiri,Mountain Peak,Unknown,4.7,Nature,No,None,Yes,0.05,268,0,0,Domestic,4.7
2023-05-04,May,2023,Summer,Thursday,No,Partly Cloudy,Chamba,Himachal Pradesh,India,Northern,Chamera Lake,Lake,Unknown,4.5,Recreational,No,None,Yes,0.01,299,0,0,International,4.5
2024-03-08,March,2024,Summer,Friday,No,Hot,Jaipur,Rajasthan,India,Northern,Albert Hall Museum,Museum,1887,4.5,Historical,Yes,None,Yes,0.63,465,206,95790,Domestic,4.5
2023-01-06,January,2023,Winter,Friday,No,Pleasant,Udaipur,Rajasthan,India,Northern,City Palace,Palace,1559,4.2,Historical,Yes,None,Yes,0.51,781,297,231957,Domestic,4.2
2024-08-02,August,2024,Monsoon,Friday,No,Rainy,Bhimbetka,Madhya Pradesh,India,Central,Bhimbetka Rock Shelters,Prehistoric Site,1958,4.7,Archaeological,No,None,Yes,0.07,91,23,2093,Domestic,4.7
2024-02-10,February,2024,Winter,Saturday,Yes,Cool,Jaipur,Rajasthan,India,Northern,Albert Hall Museum,Museum,1887,4.6,Historical,Yes,None,Yes,0.63,969,189,183141,Domestic,4.6
2023-05-03,May,2023,Summer,Wednesday,No,Sunny,Hyderabad,Telangana,India,Southern,Salar Jung Museum,Museum,1951,4.4,Historical,Yes,None,Yes,0.67,339,21,7119,Domestic,4.4
2025-06-18,June,2025,Monsoon,Wednesday,No,Cloudy,Bhimbetka,Madhya Pradesh,India,Central,Bhimbetka Rock Shelters,Prehistoric Site,1958,4.8,Archaeological,No,None,Yes,0.07,36,25,900,Domestic,4.8
2025-10-08,October,2025,Autumn,Wednesday,No,Pleasant,Puttaparthi,Andhra Pradesh,India,Southern,Prasanthi Nilayam,Spiritual Center,1950,4.9,Religious,Yes,None,Yes,0.12,401,0,0,Domestic,4.9
2024-05-27,May,2024,Summer,Monday,No,Pleasant,Barot,Himachal Pradesh,India,Northern,Barot Valley,Valley,Unknown,4.8,Nature,No,None,Yes,1.2,727,0,0,Domestic,4.8
2023-02-12,February,2023,Winter,Sunday,Yes,Clear,Diu,Daman and Diu,India,Western,Diu Fort,Fort,1535,4.7,Historical,No,None,Yes,1.2,1783,0,0,International,4.7
2025-11-28,November,2025,Autumn,Friday,No,Clear,Coimbatore,Tamil Nadu,India,Southern,Marudamalai Temple,Temple,Unknown,4.7,Religious,Yes,None,No,0.3,387,0,0,Domestic,4.7
2023-07-06,July,2023,Monsoon,Thursday,No,Cloudy,Anantapur,Andhra Pradesh,India,Southern,Lepakshi,Site,Unknown,4.5,Historical,No,None,Yes,0.075,76,0,0,Domestic,4.5
2023-11-26,November,2023,Autumn,Sunday,Yes,Warm,Goa,Goa,India,Southern,Basilica of Bom Jesus,Church,1605,4.5,Historical,Yes,None,Yes,0.59,934,0,0,Domestic,4.5
2023-03-17,March,2023,Summer,Friday,No,Warm,Agartala,Tripura,India,North Eastern,Ujjayanta Palace,Palace,1901,4.7,Historical,Yes,Monday,Yes,0.035,144,9,1296,Domestic,4.7
2025-11-19,November,2025,Autumn,Wednesday,No,Pleasant,Hemis,Ladakh,India,Northern,Hemis National Park,National Park,1981,4.2,Wildlife,No,None,Yes,0.02,34,21,714,Domestic,4.2
2025-01-10,January,2025,Winter,Friday,No,Clear,Gangtok,Sikkim,India,Eastern,Nathula Pass,Hill,Unknown,4.1,Historical,Yes,None,Yes,0.15,595,21,12495,Domestic,4.1
2023-09-26,September,2023,Monsoon,Tuesday,No,Humid,Khajuraho,Madhya Pradesh,India,Central,Khajuraho Group of Monuments,Temples,-850,4.5,Cultural,No,None,Yes,0.09,64,40,2560,Domestic,4.5
2024-05-05,May,2024,Summer,Sunday,Yes,Sunny,New Delhi,Delhi,India,Northern,Jama Masjid,Mosque,1656,4.5,Historical,Yes,None,Yes,0.49,298,0,0,International,4.5
2023-08-21,August,2023,Monsoon,Monday,No,Rainy,Chikmagalur,Karnataka,India,Southern,Mullayanagiri,Mountain Peak,Unknown,4.4,Nature,No,None,Yes,0.05,77,0,0,Domestic,4.4
